Defense,Model,Traces,BER,BERERR,Accuracy,ACCERR,MI,MIERR
Front_T1,Tik-Tok,100,,,0.359,0.016,,
Front_T1,Tik-Tok,500,,,0.696,0.005,,
Front_T1,Tik-Tok,1000,,,0.761,0.009,,
Front_T1,Tik-Tok,2000,,,0.811,0.002,,
Front_T1,Tik-Tok,4500,,,0.841,0.006,,
Front_T1,awf_cnn,100,0.745,0.027,0.067,0.007,1.345,0.04
Front_T1,awf_cnn,500,0.654,0.006,0.189,0.005,2.352,0.018
Front_T1,awf_cnn,1000,0.565,0.006,0.259,0.009,2.915,0.036
Front_T1,awf_cnn,2000,0.489,0.003,0.323,0.003,3.373,0.03
Front_T1,awf_cnn,4500,0.399,0.002,0.49,0.005,3.688,0.109
Front_T1,df,60,0.545,0.015,,,2.741,0.061
Front_T1,df,90,0.484,0.007,0.355,0.013,3.41,0.103
Front_T1,df,100,0.46,0.004,0.35,0.015,3.591,0.027
Front_T1,df,500,0.195,0.005,0.691,0.014,5.341,0.025
Front_T1,df,1000,0.156,0.003,0.757,0.004,5.621,0.014
Front_T1,df,2000,0.098,0.017,0.807,0.003,5.994,0.117
Front_T1,df,4500,0.099,0.002,0.842,0.001,5.98,0
Front_T1,k-FP,4500,,,0.588,0.002,,
Front_T1,tf,100,0.717,0.011,0.074,0.007,2.304,0.065
Front_T1,tf,500,0.517,0.005,0.136,0.007,3.618,0.032
Front_T1,tf,1000,0.409,0.007,0.181,0.005,4.217,0.045
Front_T1,tf,2000,0.33,0.073,0.226,0.008,4.621,0.412
Front_T1,tf,4500,0.243,0.014,0.307,0.007,5.112,0.074
Front_T1,var_cnn,100,0.509,0.023,0.187,0.007,,
Front_T1,var_cnn,500,0.163,0.003,0.739,0.011,,
Front_T1,var_cnn,1000,0.085,0.004,0.871,0.006,,
Front_T1,var_cnn,2000,0.058,0.003,0.913,0.006,,
Front_T1,var_cnn,4500,0.042,0.001,0.936,0.002,,
Front_T2,Tik-Tok,100,,,0.267,0.01,,
Front_T2,Tik-Tok,500,,,0.598,0.012,,
Front_T2,Tik-Tok,1000,,,0.679,0.007,,
Front_T2,Tik-Tok,2000,,,0.736,0.004,,
Front_T2,Tik-Tok,4500,,,0.777,0.002,,
Front_T2,awf_cnn,100,0.779,0.02,0.043,0.008,1.088,0.049
Front_T2,awf_cnn,500,0.696,0.011,0.127,0.013,1.602,0.05
Front_T2,awf_cnn,1000,0.638,0.002,0.191,0.006,2.314,0.025
Front_T2,awf_cnn,2000,0.567,0.003,0.239,0.004,2.749,0.023
Front_T2,awf_cnn,4500,0.478,0.005,0.393,0.004,2.976,0.015
Front_T2,df,60,0.612,0.023,,,2.197,0.054
Front_T2,df,90,0.561,0.012,0.28,0.023,2.825,0.032
Front_T2,df,100,0.536,0.013,0.256,0.014,2.938,0.098
Front_T2,df,500,0.276,0.003,0.585,0.012,4.735,0.026
Front_T2,df,1000,0.227,0.006,0.662,0.011,5.079,0.033
Front_T2,df,2000,0.17,0.019,0.726,0.003,5.452,0.132
Front_T2,df,4500,0.148,0.002,0.771,0.001,5.59,0
Front_T2,k-FP,4500,,,0.537,0.001,,
Front_T2,tf,100,0.744,0.01,0.058,0.004,1.92,0.03
Front_T2,tf,500,0.612,0.015,0.094,0.002,2.927,0.086
Front_T2,tf,1000,0.524,0.042,0.125,0.003,3.444,0.243
Front_T2,tf,2000,0.422,0.068,0.166,0.003,3.999,0.396
Front_T2,tf,4500,0.31,0.037,0.225,0.002,4.625,0.21
Front_T2,var_cnn,100,0.618,0.023,0.101,0.016,,
Front_T2,var_cnn,500,0.286,0.013,0.589,0.016,,
Front_T2,var_cnn,1000,0.147,0.006,0.776,0.009,,
Front_T2,var_cnn,2000,0.105,0,0.848,0.002,,
Front_T2,var_cnn,4500,0.071,0.002,0.889,0.013,,
NoDef,Tik-Tok,100,,,0.864,0.007,,
NoDef,Tik-Tok,500,,,0.958,0.002,,
NoDef,Tik-Tok,1000,,,0.97,0.001,,
NoDef,Tik-Tok,2000,,,0.981,0.004,,
NoDef,Tik-Tok,4500,,,0.99,0.001,,
NoDef,awf_cnn,100,0.092,0.002,0.8,0.007,5.474,0.029
NoDef,awf_cnn,500,0.04,0.002,0.911,0.004,6.301,0.01
NoDef,awf_cnn,1000,0.027,0.001,0.937,0.002,6.393,0.006
NoDef,awf_cnn,2000,0.019,0,0.947,0.002,6.435,0.003
NoDef,awf_cnn,4500,0.013,0.001,0.965,0.001,6.501,0.001
NoDef,df,60,0.077,0.006,,,5.935,0.04
NoDef,df,90,0.051,0.004,0.896,0.014,6.314,0.017
NoDef,df,100,0.05,0.003,0.895,0.012,6.342,0.045
NoDef,df,500,0.014,0.002,0.975,0.002,6.511,0.008
