Defense,Model,BER,BERERR
NoDef,awf_cnn,0.059,0.003
wtfpad,awf_cnn,0.343,0.019
Front_T1,awf_cnn,0.688,0.012
Front_T2,awf_cnn,0.777,0.023
cs_buflo,awf_cnn,0.68,0.017
tamaraw,awf_cnn,0.743,0.014
NoDef,df,0.028,0.002
wtfpad,df,0.073,0.005
Front_T1,df,0.188,0.005
Front_T2,df,0.309,0.012
cs_buflo,df,0.672,0.006
tamaraw,df,0.725,0.015
NoDef,var_cnn,0.031,0.01
wtfpad,var_cnn,0.067,0.004
Front_T1,var_cnn,0.207,0.048
Front_T2,var_cnn,0.364,0.048
cs_buflo,var_cnn,0.723,0.01
tamaraw,var_cnn,0.721,0.012
NoDef,tf,0.1267,0.0095
wtfpad,tf,0.3011,0.0052
Front_T1,tf,0.6155,0.0137
Front_T2,tf,0.7143,0.0165
cs_buflo,tf,0.6791,0.0072
tamaraw,tf,0.7374,0.013
