Defense,Metric,Dataset,Traces,BER,BERERR,Accuracy,ACCERR,MI,MIERR
NoDef,cosine,awf,4500,0.0097,0.0005,0.9698,0.0008,6.5092,0.0044
wtfpad,cosine,awf,4500,0.0861,0.0011,0.8353,0.0020,6.0564,0.0036
Front_T1,cosine,awf,4500,0.1748,0.003,0.6813,0.0049,5.4845,0.0164
Front_T2,cosine,awf,4500,0.2481,0.0007,0.5660,0.0010,4.9575,0.0069
cs_buflo,cosine,awf,4500,0.6903,0.0016,0.1007,0.0010,2.3823,0.0018
tamaraw,cosine,awf,4500,0.8607,0.0127,0.0268,0.0032,0.0,0.0
NoDef,l2,awf,4500,0.015,0.002,0.971,0.004,6.466,0.015
wtfpad,l2,awf,4500,0.259,0.013,0.546,0.02,5.103,0.067
Front_T1,l2,awf,4500,0.243,0.014,0.307,0.007,5.112,0.074
Front_T2,l2,awf,4500,0.31,0.037,0.225,0.002,4.625,0.21
cs_buflo,l2,awf,4500,0.691,0.002,0.096,0.002,2.376,0.013
tamaraw,l2,awf,4500,0.861,0.012,0.025,0.003,0.0,0.0
NoDef,cosine,awf,100,0.1766,0.0054,0.6156,0.0175,5.432,0.0404
wtfpad,cosine,awf,100,0.4792,0.0077,0.2662,0.0096,3.8674,0.0376
Front_T1,cosine,awf,100,0.6582,0.0118,0.1214,0.0081,2.7079,0.0524
Front_T2,cosine,awf,100,0.7012,0.0112,0.0944,0.0066,2.2842,0.047
cs_buflo,cosine,awf,100,0.7104,0.0095,0.0891,0.0055,2.3471,0.0247
tamaraw,cosine,awf,100,0.8529,0.0072,0.0288,0.0015,0.9444,0.0183
NoDef,l2,awf,100,0.2533,0.0156,0.5075,0.0201,4.8771,0.0741
wtfpad,l2,awf,100,0.5643,0.018,0.1870,0.0151,3.2802,0.0504
Front_T1,l2,awf,100,0.7301,0.0128,0.0785,0.0066,2.1677,0.0158
Front_T2,l2,awf,100,0.7761,0.0086,0.0564,0.0037,1.731,0.0181
cs_buflo,l2,awf,100,0.7132,0.0055,0.0832,0.0057,2.2899,0.0332
tamaraw,l2,awf,100,0.849,0.009,0.0299,0.0028,0.9377,0.0073
NoDef,cosine,ds19,100,0.083,0.0018,0.8405,0.0038,6.0312,0.0284
wtfpad,cosine,ds19,100,0.2031,0.0048,0.6226,0.0041,5.3187,0.02
Front_T1,cosine,ds19,100,0.4236,0.0203,0.3345,0.0227,3.8535,0.1324
Front_T2,cosine,ds19,100,0.5241,0.0157,0.2295,0.0147,3.2149,0.0902
cs_buflo,cosine,ds19,100,0.6787,0.0118,0.1060,0.0036,2.4097,0.039
tamaraw,cosine,ds19,100,0.7352,0.0126,0.0759,0.0065,0.8282,0.0355
NoDef,l2,ds19,100,0.1267,0.0095,0.7339,0.0157,5.5805,0.0588
wtfpad,l2,ds19,100,0.3011,0.0052,0.4840,0.0062,4.572,0.0245
Front_T1,l2,ds19,100,0.6155,0.0137,0.1503,0.0116,2.5878,0.0284
Front_T2,l2,ds19,100,0.7143,0.0165,0.0871,0.0091,1.7635,0.0712
cs_buflo,l2,ds19,100,0.6791,0.0072,0.1047,0.0045,2.3652,0.0543
tamaraw,l2,ds19,100,0.7374,0.013,0.0743,0.0067,0.7935,0.0202
