Defense,Traces,WFES,WEFDE,Mine
NoDef,90,0.1148,6.641,6.516220691
wtfpad,90,0.4699,6.6168,6.643033585
Front_T1,90,0.6688,6.6197,6.487222521
Front_T2,90,0.7255,6.6397,6.638561231
cs_buflo,90,0.6754,6.6083,6.401093627
tamaraw,90,0.8348,6.6169,4.439893988
NoDef,500,,6.6296,6.531368989
wtfpad,500,,6.6048,6.4234554
Front_T1,500,,6.5852,6.317273045
Front_T2,500,,6.6438,6.301547669
cs_buflo,500,,6.5547,6.311646534
tamaraw,500,,6.5823,1.236101111
NoDef,4500,0.1148,,6.444807287
wtfpad,4500,0.4699,,6.304721598
Front_T1,4500,0.6688,,6.012143044
Front_T2,4500,0.7255,,5.788092504
cs_buflo,4500,0.6754,,2.533661031
tamaraw,4500,0.8348,,1.206525863
